"ID","NAME","RISK","FILE ATTACHMENT","AGING","CATEGORY"
8,aim,average,false,5,chat,file_transfer,im_mc
9,amqp,average,false,5,enterprise,networking
10,apollo,average,false,5,networking,standardized
12,atalk,average,false,5,basic,networking,standardized
13,BGP,average,false,0,OTHER
15,bittorrent,average,false,5,file_mngt,p2p
17,ccp,average,false,5,networking,standardized,vpn_tun
19,cgmp,average,false,5,basic,networking,standardized
23,cstrike,average,false,5,gaming
25,dailymotion,average,false,5,mm_streaming,web
26,dcerpc,average,false,0,OTHER
28,dec,average,false,5,basic,networking
29,dhcp,average,false,0,OTHER
31,directconnect,average,false,5,file_mngt,p2p
32,dns,average,false,5,networking,standardized
33,dtp,average,false,5,basic,networking,standardized
34,ebay,average,false,5,web,web_ecom
35,edonkey,average,false,0,OTHER
36,eigrp,average,false,5,basic,networking,standardized
37,epm,average,false,5,enterprise,networking
44,etherip,average,false,5,basic,networking,standardized
45,ftp,average,false,0,OTHER
51,gmail,average,false,5,web,webmail
52,gnutella,average,false,5,file_mngt,p2p
53,goboogy,average,false,5,file_mngt,p2p,web
54,google,average,false,5,web,web_search
55,google_earth,average,false,5,web
56,google_groups,average,false,5,social_network,web
57,google_maps,average,false,5,web
58,gre,average,false,5,basic,networking,standardized
60,H.225,average,false,0,OTHER
67,http,average,false,5,basic,standardized,web
69,ica,average,false,5,enterprise,im_mc,remote_access
70,icmp,average,false,5,basic,networking,standardized
71,icmp6,average,false,5,basic,networking,standardized
74,igmp,average,false,5,basic,networking,standardized
75,imap,average,false,0,OTHER
77,imp,average,false,5,web,webmail
81,ip,average,false,5,basic,networking,standardized
82,ip6,average,false,5,basic,networking,standardized
84,ipp,average,false,5,enterprise,standardized
85,ipsec,average,false,5,basic,networking,standardized
88,ipxrip,average,false,5,networking,standardized
90,IRC,average,false,0,OTHER
91,ircs,average,false,5,forum,im_mc,social_network,standardized
92,isakmp,average,false,0,OTHER
95,jetdirect,average,false,5,enterprise
96,kazaa,average,false,5,file_mngt,p2p
98,l2tp,average,false,5,basic,networking,standardized,vpn_tun
100,LDAP,average,false,0,OTHER
105,loadbalan,average,false,5,enterprise,networking,standardized
106,loop,average,false,5,enterprise,networking,standardized
107,Lotus-Notes,average,false,0,OTHER
111,mcafee,average,false,5,update
113,mgcp,average,false,0,OTHER
114,mipv6,average,false,5,basic,networking,standardized
115,mms,average,false,5,mm_streaming
116,mmse,average,false,5,mobile,standardized
120,msn,average,false,5,audio_chat,chat,file_transfer,im_mc,video_chat,voip
121,msn_groups,average,false,5,forum,social_network,web
